"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","ampd","<=50K",">50K"
91,<=50K,0.936,0.428,2,42.31,0.428,50,50
95,<=50K,0.798,0.436666666666667,3,42.81,0.436666666666667,0,100
125,<=50K,0.988,0.325,2,43.29,0.325,100,0
140,<=50K,0.996,0.375,2,43.13,0.375,50,50
169,<=50K,1,0.258,2,41.97,0.258,100,0
174,<=50K,0.894,0.374,1,42.53,0.374,100,0
189,<=50K,0.878,0.446666666666667,3,43.36,0.446666666666667,0,100
238,<=50K,1,0.021,2,43.15,0.021,100,0
447,<=50K,1,0.072,2,43.87,0.072,100,0
568,<=50K,1,0.006,1,44.17,0.006,100,0
